benchmark,classifier,method,n_seeds,validity_mean,validity_ci_lo,validity_ci_hi,validity_n,proximity_l1_mean,proximity_l1_ci_lo,proximity_l1_ci_hi,proximity_l1_n,proximity_l2_mean,proximity_l2_ci_lo,proximity_l2_ci_hi,proximity_l2_n,sparsity_mean,sparsity_ci_lo,sparsity_ci_hi,sparsity_n,sparsity_channels_mean,sparsity_channels_ci_lo,sparsity_channels_ci_hi,sparsity_channels_n,sparsity_timepoints_mean,sparsity_timepoints_ci_lo,sparsity_timepoints_ci_hi,sparsity_timepoints_n,trsi_mean,trsi_ci_lo,trsi_ci_hi,trsi_n,scm_noise_plausibility_mean,scm_noise_plausibility_ci_lo,scm_noise_plausibility_ci_hi,scm_noise_plausibility_n,cf_faith_rollout_hard_mean,cf_faith_rollout_hard_ci_lo,cf_faith_rollout_hard_ci_hi,cf_faith_rollout_hard_n,cf_faith_rollout_soft_mean,cf_faith_rollout_soft_ci_lo,cf_faith_rollout_soft_ci_hi,cf_faith_rollout_soft_n,cf_faith_pearl_hard_mean,cf_faith_pearl_hard_ci_lo,cf_faith_pearl_hard_ci_hi,cf_faith_pearl_hard_n,cf_faith_pearl_soft_mean,cf_faith_pearl_soft_ci_lo,cf_faith_pearl_soft_ci_hi,cf_faith_pearl_soft_n,cf_faith_rollout_hard_valid_mean,cf_faith_rollout_hard_valid_ci_lo,cf_faith_rollout_hard_valid_ci_hi,cf_faith_rollout_hard_valid_n,cf_faith_pearl_hard_valid_mean,cf_faith_pearl_hard_valid_ci_lo,cf_faith_pearl_hard_valid_ci_hi,cf_faith_pearl_hard_valid_n
smoke_nl,lstm,CARLA,3,1.0,1.0,1.0,60,12.588132434667205,10.350216871405484,14.279782826405452,60,1.6876155422502885,1.534491356365561,1.829587564044598,60,0.3475555555555555,0.2688888888888889,0.5016694444444445,60,0.0,0.0,0.0,60,0.3444444444444444,0.26666666666666666,0.5,60,0.9730842324373542,0.8915394913940428,1.0385748606192329,60,0.37798234489229776,0.26768954247442633,0.5564224914282219,60,1.0,1.0,1.0,60,0.9999999988675489,0.9999999984958885,0.999999999359906,60,0.0,0.0,0.0,60,0.8864344198389281,0.8792630992030207,0.8937888031463974,60,1.0,1.0,1.0,60,0.0,0.0,0.0,60
smoke_nl,lstm,CausalFeasibility,3,0.8333333333333334,0.7333333333333333,0.9166666666666666,60,93.54252914259665,87.6659360142352,101.61751733996131,60,9.82739238730221,9.111356866935349,10.760867745486962,60,0.010333333333333335,0.0074444444444444445,0.014333333333333332,60,0.0,0.0,0.0,60,0.0,0.0,0.0,60,1.1026795133383966,1.034656645230814,1.1608133150528126,60,0.17287067840450834,0.16576184608170438,0.17837319076252717,60,0.0,0.0,0.0,60,0.5494568565364858,0.5193013658728723,0.5713059238024344,60,0.0,0.0,0.0,60,0.5437470508223589,0.5149151484178378,0.5650971078970396,60,0.0,0.0,0.0,60,0.0,0.0,0.0,60
smoke_nl,lstm,CftsCels,3,1.0,1.0,1.0,60,0.5085600142996105,0.3990662040691565,0.6470807900722124,60,0.260725513623336,0.20329159647637174,0.31742383515117256,60,0.7658888888888888,0.7262166666666666,0.8220083333333335,60,0.0033333333333333335,0.0,0.013333333333333334,60,0.5122222222222221,0.4160833333333334,0.6161111111111112,60,0.9603950250747768,0.885259861463815,1.0455075387352666,60,0.9423461273110771,0.9310669198707553,0.9539088615334468,60,0.0,0.0,0.0,60,0.8904689444432983,0.8852508383720267,0.895362371318148,60,0.0,0.0,0.0,60,0.9937207211418383,0.9910987309309167,0.9961206162956808,60,0.0,0.0,0.0,60,0.0,0.0,0.0,60
smoke_nl,lstm,CftsCOMTE,3,1.0,1.0,1.0,60,33.833819088894096,30.11345976056087,37.62789789101241,60,2.807298726692872,2.4827575553365877,3.1360631023866734,60,0.0003333333333333333,0.0,0.0007777777777777778,60,0.0,0.0,0.0,60,0.0,0.0,0.0,60,0.5940461480372743,0.5411508248523088,0.6254043835303891,60,0.5844397688528552,0.5491637327536086,0.6189615374647907,60,0.0,0.0,0.0,60,0.7969448650320261,0.7768007195722657,0.8151752134310293,60,0.0,0.0,0.0,60,0.8097383186689471,0.791315208716664,0.8277700843733756,60,0.0,0.0,0.0,60,0.0,0.0,0.0,60
smoke_nl,lstm,CftsConfeti,3,0.7,0.55,0.8337499999999978,60,9.197720563951579,7.235289024653593,10.908364776676363,60,1.3526215988236592,1.046622575561371,1.6149016855905545,60,0.6337777777777778,0.5686638888888889,0.7136750000000001,60,0.26666666666666666,0.13333333333333333,0.43333333333333335,60,0.2905555555555556,0.15888888888888889,0.45111111111111113,60,1.3983182006188792,1.3649165369506266,1.4288485544782183,60,0.8462129507737387,0.7954718967244261,0.8907861634902414,60,0.0,0.0,0.0,44,0.8902464441045616,0.8816668979282918,0.8992065108047234,44,0.0,0.0,0.0,44,0.9206818668832984,0.9163537815045294,0.9254048755006078,44,0.0,0.0,0.0,60,0.0,0.0,0.0,60
smoke_nl,lstm,CftsCounts,3,0.6833333333333333,0.3333333333333333,1.0,60,19.537105721727833,18.648268348127008,20.50387369423368,60,2.1090639005520253,2.022851569808315,2.2031540852686873,60,0.005333333333333332,0.002997222222222227,0.007666666666666666,60,0.0,0.0,0.0,60,0.0,0.0,0.0,60,0.9383481816398895,0.8605448664558198,1.004028106857948,60,0.049738320957545,0.03570524366331967,0.065998910462119,60,0.0,0.0,0.0,60,0.9885628259285697,0.9818939348198376,0.9934268688064573,60,0.0,0.0,0.0,60,0.8830109153205419,0.8776628673125677,0.8882906558702581,60,0.0,0.0,0.0,60,0.0,0.0,0.0,60
smoke_nl,lstm,CftsWachter,3,1.0,1.0,1.0,60,25.761067011002105,24.26678752629594,27.402808257091827,60,2.7831964355723753,2.6488582005391064,2.939257708888151,60,0.008111111111111109,0.005888888888888888,0.01077777777777778,60,0.0,0.0,0.0,60,0.0,0.0,0.0,60,0.957121801277354,0.8924272846688465,1.0273125649065535,60,0.9380127142330862,0.9218745987488189,0.9526186969109156,60,0.0,0.0,0.0,60,0.8874377444366781,0.8792457235250022,0.8932681535663028,60,0.0,0.0,0.0,60,0.8477522148858541,0.8400095703451934,0.8549099765000507,60,0.0,0.0,0.0,60,0.0,0.0,0.0,60
smoke_nl,lstm,PearlCARLA,3,0.2833333333333333,0.0,0.55,60,4.501549537510374,1.843516781457448,6.771133160857899,60,1.2379189190965363,0.549383415515068,1.8079748033302878,60,0.6459999999999998,0.5738833333333332,0.6927805555555556,60,0.006666666666666667,0.0,0.02,60,0.5005555555555555,0.4333333333333334,0.5822638888888887,60,0.8216191067151204,0.6699839263021838,1.0351721488051269,60,0.8993504866824505,0.8580593143720301,0.9404580496964742,60,0.0,0.0,0.0,60,0.8865090626736815,0.8801559654736153,0.8926969517795462,60,1.0,1.0,1.0,60,0.9999999913398544,0.9999999880938186,0.9999999933285356,60,0.0,0.0,0.0,60,0.2833333333333333,0.0,0.55,60
