benchmark,classifier,method,instance,validity,proximity_l1,proximity_l2,sparsity,sparsity_channels,sparsity_timepoints,trsi,scm_noise_plausibility,intervention_t,vacuous,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft,cf_faith_rollout_hard_valid,cf_faith_pearl_hard_valid
smoke_gaussian_seed0,lstm,CARLA,0,1,34.96204466172683,4.697089374479281,0.2733333333333333,0.0,0.26666666666666666,1.0260456420170738,0.31017151779064794,8,0,1.0,0.9999999925054349,0.0,0.8000744259974436,1.0,0.0
smoke_gaussian_seed0,lstm,CARLA,1,1,56.26713431164674,7.478657840194693,0.2733333333333333,0.0,0.26666666666666666,0.7343252333773844,0.2600819802151695,8,0,1.0,0.9999999940457793,0.0,0.7101870567564929,1.0,0.0
smoke_gaussian_seed0,lstm,CARLA,2,1,30.02336580593379,4.52170798404184,0.28,0.0,0.26666666666666666,0.914733116959048,0.3413614603631239,8,0,1.0,0.9999999905667734,0.0,0.8129618897946679,1.0,0.0
smoke_gaussian_seed0,lstm,CARLA,3,1,27.139745717841087,5.145555189711223,0.5066666666666667,0.0,0.5,1.3451064085810867,0.5394762602607196,15,0,1.0,0.9999999907321998,0.0,0.7408957075791136,1.0,0.0
smoke_gaussian_seed0,lstm,CARLA,4,1,37.13985939672486,5.022156119777838,0.28,0.0,0.26666666666666666,1.409541513454828,0.28159004790014797,8,0,1.0,0.9999999903800709,0.0,0.7582945638196408,1.0,0.0
smoke_gaussian_seed0,lstm,CARLA,5,1,20.846544906057744,3.5501052200160887,0.5066666666666667,0.0,0.5,1.4562798275333029,0.48277490789667254,15,0,1.0,0.9999999873918347,0.0,0.7838865457810805,1.0,0.0
smoke_gaussian_seed0,lstm,CARLA,6,1,38.190186595625555,7.34393015721965,0.5066666666666667,0.0,0.5,1.281554550798816,0.6005283772282376,15,0,1.0,0.9999999815298775,0.0,0.7228824120312259,1.0,0.0
smoke_gaussian_seed0,lstm,CARLA,7,1,48.73380864673972,6.802446470803018,0.2733333333333333,0.0,0.26666666666666666,0.9261966807884717,0.25595810774519473,8,0,1.0,0.9999999918440512,0.0,0.7248232649262331,1.0,0.0
smoke_gaussian_seed0,lstm,CARLA,8,1,60.2751281998423,7.832637079255008,0.2733333333333333,0.0,0.26666666666666666,0.7939637848582293,0.2825878885983694,8,0,1.0,0.9999999938329985,0.0,0.7028163656305683,1.0,0.0
smoke_gaussian_seed0,lstm,CARLA,9,1,25.930551850475968,4.312193068091581,0.5066666666666667,0.0,0.5,1.0020968176832845,0.5957741617985419,15,0,1.0,0.9999999796996425,0.0,0.7964134749771257,1.0,0.0
smoke_gaussian_seed0,lstm,CARLA,10,1,24.222048365461994,4.047778486199146,0.5066666666666667,0.0,0.5,1.467875598149136,0.5182856694115111,15,0,1.0,0.9999999831550008,0.0,0.780489281822589,1.0,0.0
smoke_gaussian_seed0,lstm,CARLA,11,1,27.98095772418897,4.649562073348138,0.5066666666666667,0.0,0.5,1.1415284996827528,0.594462886736466,15,0,1.0,0.9999999906439276,0.0,0.7977007865410374,1.0,0.0
smoke_gaussian_seed0,lstm,CARLA,12,1,22.254810333047867,3.519126963527609,0.5066666666666667,0.0,0.5,1.1501018105976797,0.5351076732115868,15,0,1.0,0.9999999822626334,0.0,0.8181774805869072,1.0,0.0
smoke_gaussian_seed0,lstm,CARLA,13,1,33.34966011644908,4.6008410592207545,0.2733333333333333,0.0,0.26666666666666666,0.9143290599033416,0.29701813484668327,8,0,1.0,0.9999999916055475,0.0,0.8202260261818661,1.0,0.0
smoke_gaussian_seed0,lstm,CARLA,14,1,38.73937276183205,6.300452804811856,0.5066666666666667,0.0,0.5,1.1943684229739069,0.6238260521586998,15,0,1.0,0.9999999958327316,0.0,0.6805836663539033,1.0,0.0
smoke_gaussian_seed0,lstm,CARLA,15,1,80.28368094427708,10.119361733785777,0.28,0.0,0.26666666666666666,0.580541183182984,0.32924979162814483,8,0,1.0,0.9999999918552758,0.0,0.6367400439245879,1.0,0.0
smoke_gaussian_seed0,lstm,CARLA,16,1,22.407893977411977,3.7999196999492386,0.5133333333333333,0.0,0.5,1.3597533601805991,0.49486015709240394,15,0,1.0,0.9999999926524901,0.0,0.7446497753480452,1.0,0.0
smoke_gaussian_seed0,lstm,CARLA,17,1,33.01895237494189,4.703780903561903,0.2733333333333333,0.0,0.26666666666666666,1.639990767375233,0.3023119155770106,8,0,1.0,0.9999999898193673,0.0,0.7339418043242704,1.0,0.0
smoke_gaussian_seed0,lstm,CARLA,18,1,40.105248745252396,5.569023977360497,0.2733333333333333,0.0,0.26666666666666666,0.8742606436803682,0.3473797209951492,8,0,1.0,0.9999999889805926,0.0,0.7534260697063413,1.0,0.0
smoke_gaussian_seed0,lstm,CARLA,19,1,18.31952803847198,3.3071048431225623,0.5133333333333333,0.0,0.5,1.2537656237799317,0.5609770480746076,15,0,1.0,0.9999999879277787,0.0,0.8209720119556523,1.0,0.0
smoke_gaussian_seed0,lstm,CausalFeasibility,0,1,50.83058880098343,6.532041037977974,0.006666666666666667,0.0,0.0,1.5004818341932247,0.18012502192879512,0,0,0.0,0.6715632089971645,0.0,0.7050748816011698,0.0,0.0
